322,2,Normal,Abnormal
mdb001.pgm,Abnormal
mdb002.pgm,Abnormal
mdb003.pgm,Normal
mdb004.pgm,Normal
mdb005.pgm,Abnormal
mdb005.pgm,Abnormal
mdb006.pgm,Normal
mdb007.pgm,Normal
mdb008.pgm,Normal
mdb009.pgm,Normal
mdb010.pgm,Abnormal
mdb011.pgm,Normal
mdb012.pgm,Abnormal
mdb013.pgm,Abnormal
mdb014.pgm,Normal
mdb015.pgm,Abnormal
mdb016.pgm,Normal
mdb017.pgm,Abnormal
mdb018.pgm,Normal
mdb019.pgm,Abnormal
mdb020.pgm,Normal
mdb021.pgm,Abnormal
mdb022.pgm,Normal
mdb023.pgm,Abnormal
mdb024.pgm,Normal
mdb025.pgm,Abnormal
mdb026.pgm,Normal
mdb027.pgm,Normal
mdb028.pgm,Abnormal
mdb029.pgm,Normal
mdb030.pgm,Abnormal
mdb031.pgm,Normal
mdb032.pgm,Abnormal
mdb033.pgm,Normal
mdb034.pgm,Normal
mdb035.pgm,Normal
mdb036.pgm,Normal
mdb037.pgm,Normal
mdb038.pgm,Normal
mdb039.pgm,Normal
mdb040.pgm,Normal
mdb041.pgm,Normal
mdb042.pgm,Normal
mdb043.pgm,Normal
mdb044.pgm,Normal
mdb045.pgm,Normal
mdb046.pgm,Normal
mdb047.pgm,Normal
mdb048.pgm,Normal
mdb049.pgm,Normal
mdb050.pgm,Normal
mdb051.pgm,Normal
mdb052.pgm,Normal
mdb053.pgm,Normal
mdb054.pgm,Normal
mdb055.pgm,Normal
mdb056.pgm,Normal
mdb057.pgm,Normal
mdb058.pgm,Abnormal
mdb059.pgm,Abnormal
mdb060.pgm,Normal
mdb061.pgm,Normal
mdb062.pgm,Normal
mdb063.pgm,Abnormal
mdb064.pgm,Normal
mdb065.pgm,Normal
mdb066.pgm,Normal
mdb067.pgm,Normal
mdb068.pgm,Normal
mdb069.pgm,Abnormal
mdb070.pgm,Normal
mdb071.pgm,Normal
mdb072.pgm,Abnormal
mdb073.pgm,Normal
mdb074.pgm,Normal
mdb075.pgm,Abnormal
mdb076.pgm,Normal
mdb077.pgm,Normal
mdb078.pgm,Normal
mdb079.pgm,Normal
mdb080.pgm,Abnormal
mdb081.pgm,Abnormal
mdb082.pgm,Normal
mdb083.pgm,Abnormal
mdb084.pgm,Normal
mdb085.pgm,Normal
mdb086.pgm,Normal
mdb087.pgm,Normal
mdb088.pgm,Normal
mdb089.pgm,Normal
mdb090.pgm,Abnormal
mdb091.pgm,Abnormal
mdb092.pgm,Abnormal
mdb093.pgm,Normal
mdb094.pgm,Normal
mdb095.pgm,Abnormal
mdb096.pgm,Normal
mdb097.pgm,Abnormal
mdb098.pgm,Normal
mdb099.pgm,Abnormal
mdb100.pgm,Normal
mdb101.pgm,Normal
mdb102.pgm,Abnormal
mdb103.pgm,Normal
mdb104.pgm,Abnormal
mdb105.pgm,Abnormal
mdb106.pgm,Normal
mdb107.pgm,Abnormal
mdb108.pgm,Normal
mdb109.pgm,Normal
mdb110.pgm,Abnormal
mdb111.pgm,Abnormal
mdb112.pgm,Normal
mdb113.pgm,Normal
mdb114.pgm,Normal
mdb115.pgm,Abnormal
mdb116.pgm,Normal
mdb117.pgm,Abnormal
mdb118.pgm,Normal
mdb119.pgm,Normal
mdb120.pgm,Abnormal
mdb121.pgm,Abnormal
mdb122.pgm,Normal
mdb123.pgm,Normal
mdb124.pgm,Abnormal
mdb125.pgm,Abnormal
mdb126.pgm,Abnormal
mdb127.pgm,Abnormal
mdb128.pgm,Normal
mdb129.pgm,Normal
mdb130.pgm,Abnormal
mdb131.pgm,Normal
mdb132.pgm,Abnormal
mdb132.pgm,Abnormal
mdb133.pgm,Normal
mdb134.pgm,Abnormal
mdb135.pgm,Normal
mdb136.pgm,Normal
mdb137.pgm,Normal
mdb138.pgm,Normal
mdb139.pgm,Normal
mdb140.pgm,Normal
mdb141.pgm,Abnormal
